text,label,sa
" Idk I havent been broke all summer until now
",0,1
"&& Ill Be On The First Flight Up There Too Fuck U Up
",0,0
"I'll pay to get it fixed but I see I'm gon have to show you that I'm still crazy
",1,0
"im sleepy .. and school tomar
",0,0
"Whenever we talk on the phone your boss has to call , the days I'm at your house , you have to stay at work late .
",0,1
"So Colleen & I are doing so many firsts today in our friendship . We're being drug to wild country . #firsttimeforeverything
",0,1
"You confuses the shit out of me
",0,1
"Niggas laugh when they found out they fucked the sane girl , bitch wanna kill each other we dumb af
",0,0
" welcome to my world ... Except about the ugly nerd junkies
",1,1
"That #Doritos commercial tho
",1,0
"Lab ass nigga
",0,0
" Avi >>>
",1,0
"Man Vs . Food Adam Richman just tweeted me back . Hey hey movin up in the world
",1,1
" It's been a long time since I read a book cover to cover in one sitting . It felt like you were in my head #DefiningDecade
",1,1
"I want to text you , but I don't want to annoy you ..
",0,1
"This convo doe
",1,0
" haha thanks Katie
",1,1
"got my gf a suprise when she gets here 
",1,1
"morell always calling my daddy a punk , ima tell my daddy too
",1,0
"Wat i woke up to
",0,0
"â  : So many rappers wanna work with me now .... but ... nvmâ
",1,0
"Dude Cheating On His Girl
",1,0
"Not wearing make up tonight i could work in haunted houses
",1,1
"still in bed
",1,1
" I find it hilarious
",1,0
"Jk I take that back there is someone .
",1,1
"It's a really good song actually
",1,1
" i obviously miss you more , i remember seeing you on black friday . But you saw michelle and i in a shoe store lol
",0,1
" IS SUCH AN AMAZING SINGER AND HE'S REALLY ADORABLE I LOVE YOU CODY !!!!! :
",1,1
"Thirst Trap Shawty
",0,0
"2oomf do be tryana play me in 5th pd tho <<<<
",0,0
"Been slippin but  texts have been on point the past couple of days #loveher
",1,1
"I feel like I could just sit and make a 4 hr vid about life , God , & everything in between , & people like  would love it . â¤ï¸
",1,1
"Whyyyy do I have to work so early
",0,1
"I remember months ago late night conversations we had
",0,1
" DIFFERENT PERSON . But him tooâ
",0,1
" I told my mom id get Abbi ready for her competition and do her hair and makeup . She said no
",0,1
"& johnny not here , sooo ima be bored
",0,0
"And little do you know
",1,1
" crack that whip gurlll
",1,1
" hahaha oh come in
",1,1
" that's what I'm saying ..
",0,1
" lay down somewhere B lmao
",1,0
" Omfg please stop lying it has too stop right now !
",0,0
"The face I just sent in a snap to 
",1,1
" well you're up to 25 likes already lmao I bet you will hit a 100
",1,1
"My mom is always crabby during the holidays , as if they aren't hard enough without her extra stress
",0,1
